,English,Italian,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1999,tar,catrame,0,0,0,0,0,0,0,0,0,0
2000,cathedral,cattedrale,1,0,0,0,0,0,1,0,0,1
2001,misbehavior,cattiva condotta,0,1,1,0,1,0,0,0,1,0
2002,misconduct,cattiva condotta,0,1,0,0,1,0,0,0,0,0
2003,badness,cattiveria,0,1,1,0,1,1,0,0,0,0
2004,captivity,cattività,0,1,0,0,0,0,0,1,0,0
2005,naughty,cattivo,0,1,0,0,0,0,0,0,0,0
2006,unkind,cattivo,0,1,1,0,1,1,0,1,0,0
2007,catholic,cattolico,0,0,0,0,0,0,0,0,0,0
2008,capture,cattura,0,1,0,0,0,0,0,0,0,0
2009,caudal,caudale,0,0,0,0,0,0,0,0,0,0
2010,lawsuit,causa,0,1,1,0,1,1,0,1,1,0
2011,causal,causale,0,0,0,0,0,0,0,0,0,0
2012,causality,causalità,0,0,0,0,0,0,0,0,0,0
2013,causation,causalità,0,0,0,0,0,0,0,0,0,0
2014,caused,causato,0,0,0,0,0,0,0,0,0,0
2015,cautiously,cautamente,1,0,0,0,0,1,0,0,0,0
2016,gingerly,cautamente,0,0,0,0,0,0,0,0,0,0
2017,caution,cautela,0,1,1,1,0,1,0,0,0,0
2018,cautious,cauto,1,0,0,1,0,1,0,0,0,1
2019,cautionary,cauzionale,0,0,0,0,0,1,0,0,0,0
2020,bail,cauzione,0,0,0,0,0,0,0,0,0,0
2021,quarry,cava,0,0,0,0,0,0,0,0,0,0
2022,horseman,cavaliere,0,0,0,0,0,0,0,0,0,0
2023,knight,cavaliere,1,0,0,0,0,0,0,0,0,0
2024,mare,cavalla,0,0,0,0,0,0,0,0,0,0
2025,cavalry,cavalleria,0,0,0,0,0,0,0,0,0,0
2026,chivalry,cavalleria,1,0,0,0,0,0,0,0,0,0
2027,grasshopper,cavalletta,0,0,0,0,0,0,0,0,0,0
2028,easel,cavalletto,0,0,0,0,0,0,0,0,0,0
2029,pony,cavallino,0,0,0,0,0,0,0,0,0,0
2030,horse,cavallo,0,0,0,0,0,0,0,0,0,1
2031,gelding,cavallo castrato,0,0,0,0,0,0,0,0,0,0
2032,corkscrew,cavatappi,0,0,0,0,0,0,0,0,0,0
2033,cavern,caverna,0,0,0,0,0,0,0,0,0,0
2034,cavernous,cavernoso,0,0,0,0,0,0,0,0,0,0
2035,ankle,caviglia,0,0,0,0,0,0,0,0,0,0
2036,cavity,cavità,0,0,0,0,0,0,0,0,0,0
2037,cable,cavo,0,0,0,0,0,0,0,0,1,0
2038,cabbage,cavolo,0,0,0,0,0,0,0,0,0,0
2039,cock,cazzo,0,0,0,0,0,0,0,0,0,0
2040,prick,cazzo,0,1,1,0,1,1,0,0,1,0
2041,blindness,cecità,0,1,0,0,0,0,0,1,0,0
2042,cede,cedere,0,1,0,0,0,0,0,0,0,0
2043,yielding,cedevole,0,0,0,0,0,0,0,0,0,0
2044,divested,ceduto,0,1,0,0,0,0,0,0,0,0
2045,celebrating,celebrando,1,0,0,1,0,0,1,0,0,0
2046,celebrant,celebrante,0,0,0,0,0,0,0,0,0,0
2047,celebration,celebrazione,1,0,0,1,0,0,1,0,1,1
2048,celebrated,celebre,1,0,0,1,0,0,1,0,0,0
2049,celebrity,celebrità,1,1,1,1,1,0,1,0,1,1
2050,celestial,celeste,1,0,0,1,0,0,1,0,0,0
2051,heavenly,celeste,1,0,0,1,0,0,1,0,0,1
2052,celibacy,celibato,0,0,0,0,0,0,0,0,0,0
2053,cell,cella,0,0,0,0,0,0,0,0,0,0
2054,cellular,cellulare,0,0,0,0,0,0,0,0,0,0
2055,celluloid,celluloide,0,0,0,0,0,0,0,0,0,0
2056,cymbal,cembalo,0,0,0,0,0,0,0,0,0,0
2057,cemented,cementato,0,0,0,0,0,0,0,0,0,0
2058,cement,cemento,0,0,0,1,0,0,0,0,0,1
2059,dinner,cena,1,0,0,0,0,0,0,0,0,0
2060,supper,cena,0,0,0,0,0,0,0,0,0,0
2061,dine,cenare,0,0,0,0,0,0,0,0,0,0
2062,ash,cenere,0,1,0,0,0,0,0,0,0,0
2063,ashes,ceneri,0,1,0,0,0,0,0,1,0,0
2064,beck,cenno,0,0,0,0,0,0,0,0,0,0
2065,nod,cenno,0,0,0,0,0,0,0,0,0,0
2066,nodding,cenno del capo,0,0,0,0,0,0,0,0,0,0
2067,census,censimento,0,0,0,0,0,0,0,0,0,0
2068,censor,censore,0,1,1,0,1,1,0,0,0,1
2069,censure,censura,0,1,0,0,0,0,0,0,0,0
2070,centenary,centenario,0,0,0,0,0,0,0,0,0,0
2071,centennial,centenario,0,0,0,0,0,0,0,0,0,0
2072,cent,centesimo,0,0,0,0,0,0,0,0,0,0
2073,hundredth,centesimo,0,0,0,0,0,0,0,0,0,0
2074,penny,centesimo,0,0,0,0,0,0,0,0,0,0
2075,centimeter,centimetro,0,0,0,0,0,0,0,0,0,0
2076,hundred,cento,0,0,0,0,0,0,0,0,0,0
2077,central,centrale,0,0,0,0,0,0,0,0,0,0
2078,centrally,centrale,0,0,0,0,0,0,0,0,0,0
2079,centrality,centralità,0,0,0,0,0,0,0,0,0,0
2080,centralize,centralizzare,0,0,0,0,0,0,0,0,0,0
2081,centralization,centralizzazione,0,0,0,0,0,0,0,0,0,0
2082,centrifuge,centrifuga,0,0,0,0,0,0,0,0,0,0
2083,centrifugal,centrifugo,0,0,0,0,0,0,0,0,0,0
2084,center,centro,1,0,0,0,0,0,0,0,0,1
2085,mall,centro commerciale,0,0,0,0,0,0,0,0,0,0
2086,centurion,centurione,1,0,0,0,0,0,0,0,0,0
2087,log,ceppo,0,0,0,0,0,0,0,0,0,0
2088,wax,cera,0,0,0,0,0,0,0,0,0,0
2089,beeswax,cera vergine,0,0,0,0,0,0,0,0,0,0
2090,ceramics,ceramica,0,0,0,0,0,0,0,0,0,0
2091,fawn,cerbiatto,0,1,0,0,0,0,0,0,0,0
2092,prowl,cerca di preda,0,0,0,0,0,1,0,0,1,0
2093,endeavor,cercare,1,0,0,1,0,0,0,0,0,0
2094,seek,cercare,0,0,0,1,0,0,0,0,0,0
2095,seeker,cercatore,0,0,0,0,0,0,0,0,0,0
2096,circle,cerchio,0,0,0,0,0,0,0,0,0,0
2097,hoop,cerchio,0,0,0,0,0,0,0,0,0,0
2098,cereal,cereale,0,0,0,0,0,0,0,0,0,0
2099,cereals,cereali,0,0,0,0,0,0,0,0,0,0
2100,cerebral,cerebrale,1,0,0,0,0,0,0,0,0,0
2101,ceremony,cerimonia,1,0,0,0,0,0,1,0,1,0
2102,ceremonial,cerimoniale,0,0,0,0,0,0,0,0,0,0
2103,hinge,cerniera,0,0,0,0,0,0,0,0,0,0
2104,certainty,certezza,1,0,0,0,0,0,0,0,0,0
2105,certify,certificare,0,0,0,0,0,0,0,0,0,1
2106,certificate,certificato,0,0,0,0,0,0,0,0,0,0
2107,brain,cervello,0,0,0,0,0,0,0,0,0,0
2108,deer,cervo,0,0,0,0,0,0,0,0,0,0
2109,hart,cervo,0,0,0,0,0,0,0,0,0,0
2110,stag,cervo,0,0,0,0,0,0,0,0,0,0
2111,shear,cesoia,0,0,0,0,0,0,0,0,0,0
2112,bush,cespuglio,0,0,0,0,0,0,0,0,0,0
2113,bushy,cespugliosa,0,0,0,0,0,0,0,0,0,0
2114,cess,cess,0,1,0,0,1,0,0,0,0,0
2115,cease,cessare,0,0,0,0,0,0,0,0,0,0
2116,cessation,cessazione,0,1,0,0,0,0,0,0,0,0
2117,discontinuance,cessazione,0,0,0,0,0,0,0,0,0,0
2118,basket,cestino,0,0,0,0,0,0,0,0,0,0
2119,chalet,chalet,0,0,0,0,0,0,0,0,0,0
2120,champagne,Champagne,0,0,0,0,0,0,0,0,0,0
2121,changer,changer,0,0,0,0,0,0,0,0,0,0
2122,chapman,chapman,0,0,0,0,0,0,0,0,0,0
2123,chaps,chaps,0,0,0,0,0,0,0,0,0,0
2124,chartered,chartered,0,0,0,0,0,0,0,0,0,0
2125,chateau,chateau,0,0,0,0,0,0,0,0,0,0
2126,chattering,chattering,1,0,0,0,0,0,0,0,0,0
2127,leaky,che perde,0,1,0,0,0,0,0,0,0,0
2128,checker,checker,0,0,0,0,0,0,0,0,0,0
2129,chemise,chemise,0,0,0,0,0,0,0,0,0,0
2130,kerosene,cherosene,0,0,0,0,0,1,0,0,0,0
2131,doer,chi fa,1,0,0,0,0,0,0,0,0,0
2132,chat,chiacchierare,0,0,0,0,0,0,0,0,0,0
2133,chatter,chiacchierio,0,0,0,0,0,0,0,0,0,0
2134,call,chiamata,0,0,0,0,0,0,0,0,0,0
2135,calling,chiamata,0,0,0,0,0,0,0,0,0,0
2136,calls,Chiamate,0,1,0,1,0,0,0,0,0,1
2137,clarity,chiarezza,0,0,0,0,0,0,0,0,0,0
2138,clearness,chiarezza,1,0,0,0,0,0,0,0,0,0
2139,clarify,chiarire,1,0,0,0,0,0,0,0,0,0
2140,elucidate,chiarire,1,0,0,0,0,0,0,0,0,1
2141,moonlight,chiaro di luna,0,0,0,0,0,0,0,0,0,0
2142,clairvoyant,chiaroveggente,1,0,0,0,0,0,0,0,0,0
2143,boisterous,chiassoso,1,1,1,1,0,0,1,0,0,0
2144,barge,chiatta,0,0,0,0,0,0,0,0,0,0
2145,clef,chiave,0,0,0,0,0,0,0,0,0,0
2146,key,chiave,0,0,0,0,0,0,0,0,0,0
2147,keystone,chiave di volta,1,0,0,0,0,0,0,0,0,0
2148,latch,chiavistello,0,0,0,0,0,0,0,0,0,0
2149,slick,chiazza di petrolio,0,0,0,0,0,0,0,0,0,0
2150,chicane,chicane,0,1,0,1,0,0,0,0,1,1
2151,church,chiesa,1,0,0,1,0,0,1,0,0,1
2152,kirk,chiesa,0,0,0,0,0,0,0,0,0,0
2153,keel,chiglia,0,0,0,0,0,0,0,0,0,0
2154,kilogram,chilogrammo,0,0,0,0,0,0,0,0,0,0
2155,mileage,chilometraggio,0,0,0,0,0,0,0,0,0,0
2156,kilometer,chilometro,0,0,0,0,0,0,0,0,0,0
2157,chimera,chimera,0,0,0,0,0,1,0,0,1,0
2158,chemistry,chimica,0,0,0,0,0,0,0,0,0,0
2159,chemist,chimico,1,0,0,0,0,0,0,0,0,1
2160,kimono,chimono,0,0,0,0,0,0,0,0,0,0
2161,stoop,chinarsi,0,0,0,0,0,0,0,0,0,0
2162,chine,chine,0,0,0,0,0,0,0,0,0,0
2163,chinook,chinook,0,0,0,0,0,0,0,0,0,0
2164,cloves,chiodi di garofano,0,0,0,0,0,0,0,0,0,0
2165,nail,chiodo,0,0,0,0,0,0,0,0,0,0
2166,brad,chiodo senza testa,0,0,0,0,0,0,0,0,0,0
2167,kiosk,chiosco,0,0,0,0,0,0,0,0,0,0
2168,cloister,chiostro,0,1,0,0,0,0,0,0,0,0
2169,chip,chip,0,0,0,0,0,0,0,0,0,0
2170,chipping,chipping,0,0,0,0,0,0,0,0,0,0
2171,surgery,chirurgia,0,0,0,0,0,1,0,1,0,0
2172,surgeon,chirurgo,0,0,0,0,0,0,0,0,0,0
2173,chit,chit,0,0,0,0,0,0,0,0,0,0
2174,guitar,chitarra,0,0,0,0,0,0,0,0,0,0
2175,close,chiudere,0,0,0,0,0,0,0,0,0,0
2176,closed,chiuso,0,0,0,0,0,0,0,0,0,0
2177,shut,chiuso,0,0,0,0,0,0,0,0,0,0
2178,stuffy,chiuso,0,1,0,0,0,0,0,0,0,0
2179,closure,chiusura,1,0,0,1,0,0,1,1,0,0
2180,chutney,chutney,0,0,0,0,0,0,0,0,0,0
2181,cobbler,ciabattino,0,0,0,0,0,0,0,0,0,0
2182,waffle,cialda,0,1,1,0,0,0,0,1,0,0
2183,bun,ciambella,0,0,0,0,0,0,0,0,0,0
2184,doughnut,ciambella,0,0,0,0,0,0,0,0,0,0
2185,drivel,ciance,0,1,0,0,1,0,0,0,0,0
2186,cyanide,cianuro,0,1,0,0,0,1,0,0,0,0
2187,ciao,Ciao,0,0,0,0,0,0,0,0,0,0
2188,blather,ciarlare,0,1,0,0,0,0,0,0,0,0
2189,chatty,ciarliero,0,1,0,0,0,0,0,0,0,0
2190,food,cibo,1,0,0,0,0,0,1,0,0,1
2191,buzzer,cicalino,0,0,0,0,0,0,0,0,0,0
2192,scar,cicatrice,0,1,1,0,1,1,0,1,0,0
2193,cyclical,ciclico,0,0,0,0,0,0,0,0,0,0
2194,cyclist,ciclista,0,0,0,0,0,0,0,0,0,0
2195,rider,ciclista,1,0,0,0,0,0,0,0,0,0
2196,cycle,ciclo,0,0,0,0,0,0,0,0,0,0
2197,cyclone,ciclone,0,1,0,0,0,1,0,0,1,0
2198,hemlock,cicuta,0,0,0,0,0,0,0,0,0,0
2199,blindly,ciecamente,0,1,0,0,0,0,0,1,0,0
2200,heavens,cieli,1,0,0,0,0,0,1,0,0,1
2201,sky,cielo,1,0,0,0,0,0,0,0,0,0
2202,cipher,cifra,0,0,0,0,0,0,0,0,0,0
2203,digit,cifra,0,0,0,0,0,0,0,0,0,1
2204,figure,cifra,0,0,0,0,0,0,0,0,0,0
2205,encrypt,cifrare,0,0,0,0,0,0,0,0,0,0
2206,creaking,cigolio,0,1,0,0,0,0,0,0,0,0
2207,cherry,ciliegia,1,0,0,0,0,0,0,0,0,0
2208,cylindrical,cilindrico,0,0,0,0,0,0,0,0,0,0
2209,cylinder,cilindro,0,0,0,0,0,0,0,0,0,0
2210,heirloom,cimelio di famiglia,0,0,0,0,0,0,0,0,0,0
2211,cemetery,cimitero,0,1,0,0,0,1,0,1,0,0
2212,china,Cina,0,0,0,0,0,0,0,0,0,0
2213,cinema,cinema,0,0,0,0,0,0,0,0,0,0
2214,kinematics,cinematica,0,0,0,0,0,0,0,0,0,0
2215,cinematography,cinematografia,0,0,0,0,0,0,0,0,0,0
2216,cameraman,cineoperatore,0,0,0,0,0,0,0,0,0,0
2217,strap,cinghia,0,0,0,0,0,0,0,0,0,0
2218,boar,cinghiale,0,0,0,0,0,0,0,0,0,0
2219,chirp,cinguettare,1,0,0,0,0,0,1,0,0,0
2220,cynic,cinico,0,0,0,0,0,0,0,0,0,0
2221,belt,cintura,0,1,1,0,0,1,0,0,0,0
2222,girdle,cintura,0,0,0,0,0,0,0,0,0,0
2223,chocolate,cioccolato,1,0,0,1,0,0,1,0,0,1
2224,slouch,ciondolare,0,1,0,0,0,0,0,0,0,0
2225,bowl,ciotola,0,0,0,0,0,0,0,0,0,0
2226,bowls,ciotole,0,0,0,0,0,0,0,0,0,0
2227,shingle,ciottoli,0,0,0,0,0,0,0,0,0,0
2228,cobble,ciottolo,0,0,0,0,0,0,0,0,0,0
2229,pebble,ciottolo,0,0,0,0,0,0,0,0,0,0
2230,frown,cipiglio,0,1,0,0,0,0,0,1,0,0
2231,onion,cipolla,0,0,0,0,0,0,0,0,0,0
2232,approximately,circa,0,0,0,0,0,0,0,0,0,0
2233,circus,circo,0,0,0,0,0,0,0,0,0,0
2234,circular,circolare,0,0,0,0,0,0,0,0,0,0
2235,circulation,circolazione,0,0,0,0,0,0,0,0,0,0
2236,circumcision,circoncisione,1,0,0,0,0,0,0,0,0,0
2237,encircling,circonda,0,0,0,0,0,0,0,0,0,0
2238,encircle,circondare,0,0,0,0,0,0,0,0,0,0
2239,encompass,circondare,0,0,0,0,0,0,0,0,0,0
2240,surround,circondare,1,1,0,1,0,0,0,0,0,0
2241,circumference,circonferenza,0,0,0,0,0,0,0,0,0,0
2242,girth,circonferenza,0,0,0,0,0,0,0,0,0,0
2243,circumferential,circonferenziale,0,0,0,0,0,0,0,0,0,0
2244,circumvention,circonvenzione,1,1,0,0,0,0,0,0,0,0
2245,convolution,circonvoluzione,0,0,0,0,0,0,0,0,0,0
2246,circumscribed,circoscritto,0,0,0,0,0,0,0,0,0,0
2247,circumstance,circostanza,0,0,0,0,0,0,0,0,0,0
2248,circumstantial,circostanziato,0,0,0,0,0,0,0,0,0,0
2249,circling,circuitazione,0,0,0,0,0,0,0,0,0,0
2250,circuit,circuito,0,0,0,0,0,0,0,0,0,0
2251,cirrus,cirro,0,0,0,0,0,0,0,0,0,0
2252,cistern,cisterna,0,0,0,0,0,0,0,0,0,0
2253,cyst,cisti,0,1,0,0,0,1,0,1,0,0
2254,cystic,cistica,0,0,0,0,1,0,0,0,0,0
2255,mention,citare,0,0,0,0,0,0,0,0,0,0
2256,citation,citazione,0,0,0,0,0,0,0,0,0,0
2257,quote,citazione,1,1,0,1,0,0,0,0,1,0
2258,gopher,citello,0,0,0,0,0,0,0,0,0,0
2259,intercom,citofono,0,0,0,0,0,0,0,0,0,0
2260,cytomegalovirus,citomegalovirus,0,1,0,0,0,0,0,1,0,0
2261,cytoplasm,citoplasma,0,0,0,0,0,0,0,0,0,0
2262,citrine,citrino,0,0,0,0,0,0,0,0,0,0
2263,city,città,0,0,0,0,0,0,0,0,0,0
2264,town,città,0,0,0,0,0,0,0,0,0,0
2265,campus,città universitaria,0,0,0,0,0,0,0,0,0,0
2266,citadel,cittadella,0,0,0,0,0,0,0,0,0,0
2267,citizen,cittadino,1,0,0,0,0,0,0,0,0,0
2268,civic,civico,0,0,0,0,0,0,0,0,0,0
2269,civil,civile,1,0,0,0,0,0,0,0,0,0
2270,civilian,civile,0,0,0,0,0,0,0,0,0,0
2271,civilized,civile,1,0,0,0,0,0,1,0,0,1
2272,civility,civiltà,1,0,0,0,0,0,0,0,0,0
2273,civilization,civiltà,1,0,0,0,0,0,0,0,0,1
2274,clamor,clamore,0,1,1,1,1,0,0,0,1,0
2275,clan,clan,0,0,0,0,0,0,0,0,0,1
2276,clandestine,clandestino,0,0,0,0,0,0,0,0,0,0
2277,clarinet,clarinetto,0,0,0,0,0,0,0,0,0,0
2278,class,classe,0,0,0,0,0,0,0,0,0,0
2279,classics,classici,1,0,0,0,0,0,1,0,0,0
2280,classic,classico,1,0,0,0,0,0,0,0,0,0
2281,classical,classico,1,0,0,0,0,0,0,0,0,0
2282,classify,classificare,1,0,0,0,0,0,0,0,0,0
2283,classification,classificazione,0,0,0,0,0,0,0,0,0,0
2284,clause,clausola,0,0,0,0,0,0,0,0,0,0
2285,clauses,clausole,0,0,0,0,0,0,0,0,0,0
2286,harpsichord,clavicembalo,0,0,0,0,0,0,0,0,0,0
2287,clemency,clemenza,0,0,0,0,0,0,0,0,0,0
2288,leniency,clemenza,0,0,0,0,0,0,0,0,0,0
2289,clerical,clericale,1,0,0,0,0,0,0,0,0,1
2290,clergy,clero,0,0,0,0,0,0,0,0,0,0
2291,hourglass,clessidra,0,0,0,0,0,0,0,0,0,0
2292,client,cliente,0,0,0,0,0,0,0,0,0,0
2293,customer,cliente,1,0,0,0,0,0,0,0,0,0
2294,clientele,clientela,0,0,0,0,0,0,0,0,0,0
2295,climate,clima,0,0,0,0,0,0,0,0,0,0
2296,climatology,climatologia,0,0,0,0,0,0,0,0,0,0
2297,climax,climax,1,0,0,1,0,0,1,0,1,1
2298,clip,clip,0,0,0,0,0,0,0,0,0,0
2299,clipper,clipper,0,0,0,0,0,0,0,0,0,0
2300,enema,clistere,0,0,0,0,1,0,0,0,0,0
2301,chloroform,cloroformio,0,1,0,0,0,0,0,0,0,0
2302,clothesline,clothesline,0,0,0,0,0,0,0,0,0,0
2303,clown,clown,1,0,0,1,0,0,1,0,1,0
2304,club,club,0,0,0,0,0,0,0,0,0,0
2305,clubs,club,0,0,0,0,0,0,0,0,0,0
2306,clubhouse,clubhouse,0,0,0,0,0,0,0,0,0,0
2307,coagulation,coagulazione,0,0,0,0,0,0,0,0,0,0
2308,clot,coagulo,0,0,0,0,0,0,0,0,0,0
2309,coalition,coalizione,1,0,0,0,0,0,0,0,0,0
2310,cobalt,cobalto,0,0,0,0,0,0,0,0,0,0
2311,cobra,cobra,0,0,0,0,0,1,0,0,0,0
2312,cocaine,cocaina,0,1,0,0,0,0,0,1,0,0
2313,crocodile,coccodrillo,0,0,0,0,0,1,0,0,0,0
2314,cuddle,coccolare,1,0,0,0,0,0,1,0,0,1
2315,pamper,coccolare,0,0,0,0,0,0,0,0,0,0
2316,cocktail,cocktail,0,0,0,0,0,0,0,0,0,0
2317,queue,coda,0,0,0,0,0,0,0,0,0,0
2318,tail,coda,0,0,0,0,0,0,0,0,0,0
2319,cowardice,codardia,0,1,0,0,0,1,0,0,0,0
2320,code,codice,0,0,0,0,0,0,0,0,0,0
2321,codex,codice,0,0,0,0,0,0,0,0,0,0
2322,codify,codificare,0,0,0,0,0,0,0,0,0,0
2323,encode,codificare,0,0,0,0,0,0,0,0,0,0
2324,codification,codificazione,0,0,0,0,0,0,0,0,0,0
2325,coefficient,coefficiente,0,0,0,0,0,0,0,0,0,0
2326,coercive,coercitivo,0,0,0,0,0,0,0,0,0,0
2327,coercion,coercizione,0,1,1,0,1,1,0,1,0,0
2328,coherent,coerente,1,0,0,0,0,0,0,0,0,0
2329,consistent,coerente,0,0,0,0,0,0,0,0,0,0
2330,coherence,coerenza,1,0,0,0,0,0,0,0,0,0
2331,consistency,coerenza,1,0,0,0,0,0,0,0,0,1
2332,cohesion,coesione,0,0,0,0,0,0,0,0,0,1
2333,coexisting,coesistenti,0,0,0,0,0,0,0,0,0,1
2334,coexistence,coesistenza,0,0,0,0,0,0,0,0,0,0
2335,coexist,coesistere,1,0,0,0,0,0,0,0,0,1
2336,cohesive,coesivo,1,0,0,0,0,0,0,0,0,1
2337,casket,cofanetto,0,1,0,0,0,1,0,1,0,0
2338,bonnet,cofano,0,0,0,0,0,0,0,0,0,0
2339,cull,cogliere,0,1,0,0,0,0,0,0,0,0
2340,cognition,cognizione,0,0,0,0,0,0,0,0,0,0
2341,surname,cognome,0,0,0,0,0,0,0,0,0,0
2342,coincident,coincidente,0,0,0,0,0,0,0,0,0,0
2343,coincidence,coincidenza,0,0,0,0,0,0,0,0,1,0
2344,coinciding,coincidenza,0,0,0,0,0,0,0,0,0,0
2345,concurrence,coincidenza,0,0,0,0,0,0,0,0,0,0
2346,coincide,coincidere,0,0,0,0,0,0,0,0,0,0
2347,involvement,coinvolgimento,0,0,1,0,0,0,0,0,0,0
2348,embroiled,coinvolto,0,1,0,0,0,0,0,0,0,0
2349,coke,coke,0,0,0,0,0,0,0,0,0,0
2350,breakfast,colazione,1,0,0,0,0,0,0,0,0,0
2351,cholera,colera,0,1,0,0,1,1,0,1,0,0
2352,hummingbird,colibrì,0,0,0,0,0,0,0,0,0,0
2353,colic,colica,0,1,0,0,0,0,0,0,0,0
2354,glue,colla,0,0,0,0,0,0,0,0,0,0
2355,cooperate,collaborare,1,0,0,0,0,0,0,0,0,0
2356,collaborator,collaboratore,0,0,0,0,0,0,0,0,0,1
2357,contributor,collaboratore,1,0,0,0,0,0,0,0,0,1
2358,coworker,collaboratore,0,0,0,0,0,0,0,0,0,0
2359,partnership,collaborazione,1,0,0,0,0,0,0,0,0,1
2360,necklace,collana,0,0,0,0,0,0,0,0,0,0
2361,tights,collant,0,0,0,0,0,0,0,0,0,0
2362,collar,collare,0,0,0,0,0,0,0,0,0,0
2363,collateral,collaterale,0,0,0,0,0,0,0,0,0,1
2364,colleague,collega,0,0,0,0,0,0,0,0,0,0
2365,connection,collegamento,0,0,0,0,0,0,0,0,0,0
2366,liaison,collegamento,0,1,0,0,0,0,0,0,0,0
2367,link,collegamento,0,0,0,0,0,0,0,0,0,0
2368,connect,collegare,0,0,0,0,0,0,0,0,0,0
2369,connected,collegato,0,0,0,0,0,0,0,0,0,0
2370,related,collegato,0,0,0,0,0,0,0,0,0,1
2371,collegiate,collegiato,0,0,0,0,0,0,0,0,0,0
2372,college,collegio,0,0,0,0,0,0,0,0,0,0
2373,rage,collera,0,1,1,0,0,0,0,0,0,0
2374,collectively,collettivamente,1,0,0,0,0,0,0,0,0,1
2375,collective,collettivo,0,0,0,0,0,0,0,0,0,0
2376,collector,collettore,0,0,0,0,0,0,0,0,0,0
2377,gatherer,collettore,0,0,0,0,0,0,0,0,0,0
2378,collection,collezione,0,0,0,0,0,0,0,0,0,0
2379,collie,collie,0,0,0,0,0,0,0,0,0,0
2380,hill,collina,0,0,0,0,0,0,0,0,0,0
2381,knoll,collinetta,0,0,0,0,0,0,0,0,0,0
2382,hilly,collinoso,0,0,0,0,0,0,0,0,0,0
2383,collision,collisione,0,1,1,0,0,0,0,0,0,0
2384,neck,collo,0,0,0,0,0,0,0,0,0,0
2385,collocation,collocazione,0,0,0,0,0,0,0,0,0,0
2386,colloquial,colloquiale,0,0,0,0,0,0,0,0,0,0
2387,interview,colloquio,0,0,0,0,0,0,0,0,0,0
2388,collusion,collusione,0,1,1,0,1,1,0,1,0,0
2389,colophon,colofone,0,0,0,0,0,0,0,0,0,0
2390,dove,colomba,1,0,0,1,0,0,1,0,0,1
2391,colon,colon,0,0,0,0,0,0,0,0,0,0
2392,colony,colonia,0,0,0,0,0,0,0,0,0,0
2393,colonial,coloniale,0,0,0,0,0,0,0,0,0,0
2394,column,colonna,0,0,0,0,0,0,0,0,0,0
2395,columnar,colonnare,0,0,0,0,0,0,0,0,0,0
2396,colonel,colonnello,1,0,0,0,0,0,0,0,0,1
2397,colored,colorato,0,0,0,0,0,0,0,0,0,0
2398,coloration,colorazione,0,0,0,0,0,0,0,0,0,0
2399,coloring,colorazione,0,0,0,0,0,0,0,0,0,0
2400,color,colore,0,0,0,0,0,0,0,0,0,0
2401,hue,colore,0,0,0,0,0,0,0,0,0,0
2402,colors,colori,0,0,0,0,0,0,0,0,0,0
2403,colossal,colossale,1,0,0,0,0,0,0,0,0,0
2404,behemoth,colosso,0,1,0,0,0,1,0,0,0,0
2405,blame,colpa,0,1,1,0,1,0,0,0,0,0
2406,guilt,colpa,0,1,0,0,1,0,0,1,0,0
2407,culpable,colpevole,0,1,0,0,0,0,0,0,0,0
2408,culprit,colpevole,0,1,0,0,0,0,0,0,0,0
2409,guilty,colpevole,0,1,1,0,0,0,0,1,0,0
2410,culpability,colpevolezza,0,1,0,0,0,0,0,0,0,0
2411,hit,colpire,0,1,1,0,0,0,0,0,0,0
2412,poke,colpire,0,1,0,1,0,0,0,0,0,0
2413,smitten,colpito,1,0,0,0,0,0,0,0,0,0
2414,stricken,colpito,0,0,0,0,0,0,0,1,0,0
2415,jab,colpo,0,0,1,0,0,0,0,0,0,0
2416,whack,colpo,0,1,0,0,0,0,0,0,0,0
2417,fluke,colpo di fortuna,0,0,0,0,0,0,0,0,1,0
2418,coup,colpo di stato,0,0,1,0,0,0,0,0,1,0
2419,knife,coltello,0,0,0,0,0,0,0,0,0,0
2420,cultivate,coltivare,1,0,0,1,0,0,0,0,0,1
2421,cultivated,coltivato,1,0,0,0,0,0,0,0,0,0
2422,cultivation,coltivazione,1,0,0,0,0,0,0,0,0,0
2423,coma,coma,0,1,0,0,0,1,0,1,0,0
2424,commandant,comandante,1,0,0,0,0,0,0,0,0,1
2425,commander,comandante,0,0,0,0,0,0,0,0,0,0
2426,commanding,comandante,1,0,0,0,0,0,0,0,0,1
2427,command,comando,0,0,0,0,0,0,0,0,0,0
2428,comatose,comatoso,0,1,0,0,0,1,0,1,0,0
2429,combatant,combattente,0,1,1,0,0,1,0,0,0,0
2430,fighter,combattente,0,0,0,0,0,0,0,0,0,0
2431,fighting,combattente,0,1,1,0,0,0,0,0,0,0
2432,combat,combattimento,0,1,1,0,0,1,0,0,0,0
2433,fight,combattimento,0,1,1,0,0,1,0,0,0,0
2434,battled,combattuto,0,1,1,0,0,1,0,1,0,0
2435,combined,combinato,0,0,0,0,0,0,0,0,0,0
2436,combinatorial,combinatoria,0,0,0,0,0,0,0,0,0,0
2437,combination,combinazione,0,0,0,0,0,0,0,0,0,0
2438,combustible,combustibile,0,0,0,0,0,0,0,0,0,0
2439,combustion,combustione,0,0,0,0,0,0,0,0,0,0
